,title,date,n_reply,url
68,"尹정부, ‘탈원전 로드맵’ 완전 폐기…‘원전최강국’ 속도 낸다",2022.07.05. 오전 11:00,239,https://n.news.naver.com/mnews/article/277/0005113116?sid=101
69,폭염에 전기 모자란 이유 있었다…제역할 못하는 '태양광·풍력',2021.07.23. 오후 1:06,234,https://n.news.naver.com/mnews/article/119/0002513896?sid=101
70,폭염에 믿을건 원전뿐…추가 안했으면 블랙아웃 걱정했을 뻔,2021.07.23. 오전 11:47,233,https://n.news.naver.com/mnews/article/277/0004942297?sid=101
71,'대세론'에 큰절 올린 이재명…'반격' 준비하는 이낙연,2021.09.12. 오후 7:50,231,https://n.news.naver.com/mnews/article/008/0004644068?sid=100
72,권성동 ‘문재인’ 16차례 언급… “文 정부 정치방역” [전문],2022.07.21. 오전 10:07,230,https://n.news.naver.com/mnews/article/016/0002018581?sid=100
73,탈원전 폐기…'에너지' 한 배 탄 尹과 두산,2022.03.11. 오전 11:00,227,https://n.news.naver.com/mnews/article/277/0005056724?sid=101
74,"민주당 ""탈원전 바보같다는 윤 대통령, 전세계가 바보냐""",2022.06.22. 오후 5:59,224,https://n.news.naver.com/mnews/article/082/0001161500?sid=100
75,"""34년 묵은 양당체제 불판 갈아야""…심상정, 대선 출마 선언",2021.08.29. 오후 2:46,222,https://n.news.naver.com/mnews/article/002/0002207323?sid=100
76,이재명의 농지전수조사? '농업경영체 전수조사'가 시급하다,2022.01.31. 오후 5:05,218,https://n.news.naver.com/mnews/article/047/0002340877?sid=100
77,2030년 원전비중 30% 이상까지 확대한다,2022.07.05. 오전 11:01,216,https://n.news.naver.com/mnews/article/032/0003157610?sid=101
78,"李 ""불공정 완화"" 尹 ""데이터경제"" 安 ""규제철폐"" 沈 ""녹색전환""",2022.02.21. 오후 9:03,214,https://n.news.naver.com/mnews/article/001/0013003676?sid=100
79,탈원전 지속하면 전기요금 120%↑…2050년까지 1500조 든다,2021.10.27. 오후 7:16,210,https://n.news.naver.com/mnews/article/448/0000342516?sid=101
80,전과 4범에 벌금만 900만원인 34살 청년입니다 [민병래의 사수만보],2022.03.26. 오후 7:52,210,https://n.news.naver.com/mnews/article/047/0002347094?sid=103
81,"이재명 ""과학기술 5대 강국…10대 빅 프로젝트 추진""[전문]",2022.02.27. 오후 7:27,208,https://n.news.naver.com/mnews/article/018/0005156113?sid=100
82,"기본소득 '황당하다'는 유승민에 이재명 ""기본소득은 공정소득 사촌쯤""",2021.07.25. 오후 7:28,206,https://n.news.naver.com/mnews/article/421/0005500553?sid=100
83,"""LG엔솔 가고 현엔 왔다"" 고평가 논란 딛고 '건설 대장주' 등극할까",2022.01.26. 오전 5:10,204,https://n.news.naver.com/mnews/article/417/0000779208?sid=101
84,"‘원전 부활’ 예고…신재생에너지, 찬밥 신세 되나?",2022.05.01. 오전 10:04,202,https://n.news.naver.com/mnews/article/032/0003143988?sid=101
85,"윤, DJ 생가 방문날... 이 ""김대중은 박식, 알아야 뭘 하지""",2022.02.23. 오후 9:02,201,https://n.news.naver.com/mnews/article/047/0002343532?sid=100
86,"8년 만에 오른 전기요금…""안 올리면 국민 부담 누적""",2021.09.23. 오후 7:10,200,https://n.news.naver.com/mnews/article/422/0000505836?sid=101
87,"이재명, 주말 'PK' 집중 유세...정책 행보로 위기 돌파 시도",2022.02.05. 오후 10:10,198,https://n.news.naver.com/mnews/article/052/0001698137?sid=100
88,"尹 ""첫돌까지 월100만원 부모급여…잠재성장률 2%→4% 2배로""(종합)",2022.01.11. 오전 11:48,196,https://n.news.naver.com/mnews/article/421/0005837370?sid=100
89,"[현장영상] 이재명 ""직접 다녀본 대구·경북 바닥 민심, 생각과는 달라""",2021.12.13. 오후 4:11,195,https://n.news.naver.com/mnews/article/052/0001676537?sid=154
90,"윤석열 ""임대료 국가 1/3 분담…연 1200만원 부모 급여""(종합)",2022.01.11. 오전 11:54,191,https://n.news.naver.com/mnews/article/003/0010937941?sid=100
91,文 “태양광·풍력 확충”…기후위기 대응 Vs 전기요금 폭등,2021.08.15. 오전 11:27,189,https://n.news.naver.com/mnews/article/018/0005011443?sid=101
92,"<사설>EU 탄소세, 폭염 전력난…더 이상의 탈원전은 犯罪다",2021.07.16. 오전 11:41,187,https://n.news.naver.com/mnews/article/021/0002478563?sid=110
93,[전문]윤호중 “尹 서초동서 불법정치…검찰개혁 2단계 나설 것”,2021.09.08. 오전 10:14,185,https://n.news.naver.com/mnews/article/018/0005031827?sid=100
94,"심상정 ""이준석 '태양광 공약' 비판, 재생에너지 현실에 대한 무지""",2022.02.01. 오후 8:08,184,https://n.news.naver.com/mnews/article/014/0004781417?sid=100
95,시대흐름 놓치고 헛다리 짚은 윤석열 정부 공공개혁 [소셜 코리아],2022.07.06. 오전 5:50,182,https://n.news.naver.com/mnews/article/047/0002358889?sid=101
96,"""돈 쥐고 서민 고통 외면하는 기재부 해체"" 공공운수노조 '공공성 강화' 총궐기",2021.11.27. 오전 9:03,179,https://n.news.naver.com/mnews/article/047/0002334033?sid=102
97,"""외식수당이냐"" VS ""누군가엔 생명줄"" 이재명이 쏜 기본소득 논쟁",2021.07.25. 오후 1:00,178,https://n.news.naver.com/mnews/article/469/0000619547?sid=100
98,[뉴스AS] 윤석열이 비판한 ‘과도한 재생에너지’?…한국 4.6% 불과,2022.02.09. 오전 10:17,178,https://n.news.naver.com/mnews/article/028/0002578460?sid=102
99,"靑, 헝가리서 불거진 '탈원전 논란'에 ""정책에 대한 이해 부족""",2021.11.04. 오후 7:09,175,https://n.news.naver.com/mnews/article/629/0000114530?sid=100
100,"헝가리 대통령 “원전없는 탄소중립 불가, 韓과 공감”, 靑 “신규 원전 안짓겠다는 설명 과정서 오해” 해명",2021.11.04. 오전 3:02,172,https://n.news.naver.com/mnews/article/020/0003391445?sid=100
101,[뉴스쉽] '더러운 에너지'의 역습,2022.07.02. 오전 9:00,172,https://n.news.naver.com/mnews/article/055/0000983306?sid=101
102,"""2차전지 새 대장주"" LG에너지솔루션, 증권사 최대 목표가는?",2022.01.29. 오전 5:40,171,https://n.news.naver.com/mnews/article/417/0000780573?sid=101
103,"윤석열 ""탈원전, 문재인 정부의 재앙... 왜 국민이 뒷감당하나""",2021.11.26. 오후 4:31,167,https://n.news.naver.com/mnews/article/469/0000643511?sid=100
104,"이준석 ""이재명 공약, 中업체 위한 것""…與 ""팩트 왜곡한 선동""",2022.02.01. 오후 9:08,164,https://n.news.naver.com/mnews/article/015/0004659070?sid=100
105,"[단독] 산업계 이어 한수원까지…""원전 추가로 건설해야"" 강조",2021.09.14. 오후 5:49,162,https://n.news.naver.com/mnews/article/009/0004852540?sid=101
106,윤석열 정부가 폭염 속 내세운 '전기료 원가주의'...전기료 더 오를 가능성 시사,2022.07.05. 오후 9:16,161,https://n.news.naver.com/mnews/article/469/0000684593?sid=101
107,"심상정, '탈원전 반대' 윤석열 비판 ""유랑정치 그만, 비전 밝혀라""",2021.07.06. 오후 1:35,158,https://n.news.naver.com/mnews/article/008/0004612164?sid=100
108,"文대통령 ""국정 최우선 과제는 위기 극복, 막중한 책임 느껴""",2021.08.03. 오전 11:04,157,https://n.news.naver.com/mnews/article/079/0003537106?sid=100
109,"""전세계 모든 신차, 2040년에는 전기차 될 것"" 엑손모빌",2022.06.26. 오전 3:59,156,https://n.news.naver.com/mnews/article/014/0004857531?sid=101
110,시한 2주 남은 윤석열 ‘4월 전기료 인상 백지화’ 공약…이행될까?,2022.03.14. 오후 4:44,155,https://n.news.naver.com/mnews/article/028/0002582777?sid=102
111,"이재명 ""부울경, 수도권 못지않은 경쟁력 갖춘 메가시티로""(종합)",2022.02.05. 오후 2:50,154,https://n.news.naver.com/mnews/article/001/0012960024?sid=100
112,"[현장영상] 문 대통령 ""정부는 위기 속에서 경제와 민생에 더욱 집중""",2022.01.03. 오전 10:21,153,https://n.news.naver.com/mnews/article/052/0001684803?sid=100
113,"김성주 ""윤 대통령, 평생 남 뒷조사해 감옥 처넣은 검찰 출신""",2022.06.23. 오후 4:23,151,https://n.news.naver.com/mnews/article/082/0001161682?sid=100
114,이재명 또 ‘현금 약속’···이번엔 바람·햇빛연금,2021.12.12. 오후 4:02,149,https://n.news.naver.com/mnews/article/011/0003995839?sid=100
115,송영길 '원전 무섭다고 도망가면 안돼”,2021.11.30. 오후 9:36,148,https://n.news.naver.com/mnews/article/022/0003643305?sid=100
116,[대선후보 공약비교]⑭10대 공약…李 “기본소득” 尹 “여가부 폐지”,2022.03.05. 오전 6:01,147,https://n.news.naver.com/mnews/article/366/0000797712?sid=100
117,"이재명 ""원전 추가 건설 반대""...탈원전 기조 확인",2021.08.26. 오후 12:26,145,https://n.news.naver.com/mnews/article/014/0004698459?sid=100
118,"이재명 ""정부에서 'RE100' 회피하려는 경향 있어"" [TF사진관]",2022.06.17. 오후 3:20,145,https://n.news.naver.com/mnews/article/629/0000155729?sid=100
119,"문대통령 ""韓佛 탄소중립 협력하자"" 마크롱 ""韓 NDC 상향 환영""",2021.10.31. 오전 2:03,143,https://n.news.naver.com/mnews/article/001/0012758808?sid=100
120,한국은 세계 2위 기후악당…석탄발전 1인당 온실가스 배출량 中·美 앞질러,2022.05.20. 오후 3:15,143,https://n.news.naver.com/mnews/article/002/0002244326?sid=101
121,최대 30조… 외국 기업 배만 불리는 해상풍력 단지,2021.12.20. 오후 12:04,140,https://n.news.naver.com/mnews/article/053/0000030197?sid=102
122,"'올해 14조 적자' 한국전력, 필리핀 발전소 등 자산매각 검토",2022.04.26. 오후 7:23,138,https://n.news.naver.com/mnews/article/008/0004738090?sid=101
123,"문 대통령 ""포용적 국제 협력 여정에 한국은 굳건한 동반자""",2021.09.21. 오전 3:49,137,https://n.news.naver.com/mnews/article/047/0002327211?sid=100
124,"추미애 “윤석열이 우습게 본 세상, 추미애가 지켜내겠다”",2021.09.12. 오후 4:17,136,https://n.news.naver.com/mnews/article/016/0001886545?sid=100
125,"文대통령 ""코로나로부터 가장 안전한 나라 될 것""",2021.09.14. 오전 11:17,135,https://n.news.naver.com/mnews/article/002/0002210118?sid=100
126,"문대통령 ""2050년까지 수소충전소 2000기 이상 구축""",2021.10.08. 오전 4:00,134,https://n.news.naver.com/mnews/article/119/0002536334?sid=100
127,"이재명 ""민주당만이 유능한 경제민생 대통령 만들 수 있어""[전문]",2021.12.28. 오후 6:33,133,https://n.news.naver.com/mnews/article/018/0005115681?sid=100
128,"조선일보 ""원전건설 중단은 중대범죄"" 보도 ""사실과 전혀 달라""",2021.09.07. 오후 12:11,131,https://n.news.naver.com/mnews/article/006/0000109570?sid=102
